Article_number;Stock;Stock_BE;ETA;ETA_Confirmed;Status;Classe_comm;last_update
00124/01/30;0;149;;;;Competitive;13.07.2026
00124/04/30;0;71;;;;Competitive;13.07.2026
00124/14/30;0;98;;;;Competitive;13.07.2026
00126/01/30;11;0;;;Dropped out;;13.07.2026
00127/01/30;0;125;;;;Competitive;13.07.2026
00131/40/30;0;80;;;;Essential;13.07.2026
00224/01/30;0;110;;;;Competitive;13.07.2026
00424/01/30;0;77;15/09/2026;;;Competitive;13.07.2026
00424/04/30;0;114;;21/08/2026;;Competitive;13.07.2026
00425/01/30;0;68;;;;Competitive;13.07.2026
00425/04/30;0;109;;;;Competitive;13.07.2026
00425/06/30;0;159;;;;Competitive;13.07.2026
00427/04/30;0;52;;;;Competitive;13.07.2026
00430/04/60;0;68;;;;Essential;13.07.2026
00430/20/60;0;66;;;;Essential;13.07.2026
00430/21/60;0;56;;;;Essential;13.07.2026
00430/28/60;0;72;;;;Essential;13.07.2026
00524/01/30;0;57;;;;Competitive;13.07.2026
00724/03/30;1;93;;;;Competitive;13.07.2026
00726/03/30;0;195;;;;Competitive;13.07.2026
00727/03/30;0;77;;;;Competitive;13.07.2026
00929/01/30;16;0;;;Dropped out;;13.07.2026
00929/02/30;38;0;;;Dropped out;;13.07.2026
00929/13/30;46;0;;;Dropped out;;13.07.2026
01204/09/70;0;0;15/09/2026;;New Phase 1;Vibes;13.07.2026
01204/09/72;0;0;15/09/2026;;New Phase 1;Vibes;13.07.2026
01400/38/72;0;37;;;;Neutral;13.07.2026
01402/28/72;0;9;31/08/2026;;;Vibes;13.07.2026
01403/28/70;0;40;;;;Vibes;13.07.2026
01404/24/70;0;0;15/09/2026;;New Phase 1;Vibes;13.07.2026
01404/24/72;0;0;15/09/2026;;New Phase 1;Vibes;13.07.2026
01406/28/70;0;0;31/08/2026;;New Phase 1;Vibes;13.07.2026
02404/01/30;0;500;;;;Competitive;13.07.2026
02405/26/30;1;0;;;Dropped out;;13.07.2026
02807/04/30;0;140;;;;Competitive;13.07.2026
02807/04/31;0;151;;;;Competitive;13.07.2026
03129/42/30;0;50;;;;Competitive;13.07.2026
03147/40/30;0;43;31/08/2026;10/08/2026;;Neutral;13.07.2026
03147/40/38;0;66;;14/07/2026;;Neutral;13.07.2026
03213/01/41;0;87;;14/07/2026;;Competitive;13.07.2026
03229/01/30;0;68;;14/07/2026;;Competitive;13.07.2026
03246/03/30;0;254;;;;Competitive;13.07.2026
03429/03/30;0;78;;;;Competitive;13.07.2026
03429/42/30;0;75;;;;Competitive;13.07.2026
03435/56/72;0;0;;;Liquidation;Neutral;13.07.2026
03447/03/30;0;38;;;;Neutral;13.07.2026
03447/03/38;0;103;;;;Neutral;13.07.2026
03447/52/30;0;76;;;;Neutral;13.07.2026
03447/52/38;0;104;;;;Neutral;13.07.2026
03450/03/02;0;58;;;;Neutral;13.07.2026
03516/01/30;3;0;;;Dropped out;;13.07.2026
